,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
107,Georgia State,29,18,11,.621,3.69,0.06,11,7,11,1,6,10,2278,2081,,1170,680,1707,.398,177,617,.287,544,740,.735,354,1077,347,185,109,460,512
108,Georgia Tech,28,14,14,.500,9.92,9.40,8,9,8,6,5,7,1925,1883,,1130,659,1625,.406,154,533,.289,411,578,.711,290,951,351,212,101,383,507
109,Georgia,28,14,14,.500,8.08,7.23,4,11,11,4,3,8,2130,2104,,1140,783,1744,.449,193,604,.320,345,529,.652,320,1013,363,185,96,380,506
110,Gonzaga,30,28,2,.933,22.88,2.42,14,1,16,0,10,1,2634,2020,,1205,775,1859,.417,200,629,.318,270,395,.684,262,942,344,187,90,414,579
111,Grambling,27,14,13,.519,-12.41,-7.84,8,6,9,2,5,10,1950,1890,,1080,646,1544,.418,201,595,.338,397,579,.686,252,891,376,176,75,383,510
112,Grand Canyon,28,12,16,.429,-6.01,-3.75,7,7,7,7,4,6,1972,2042,,1130,725,1639,.442,241,670,.360,351,486,.722,273,978,406,151,72,319,513
113,Green Bay,30,15,15,.500,-5.32,-2.72,10,7,8,5,7,10,2473,2433,,1215,852,1907,.447,274,769,.356,455,609,.747,350,1156,439,169,79,445,545
114,Hampton,30,13,17,.433,-13.23,-5.56,8,9,11,4,2,13,2324,2396,,1210,829,1845,.449,249,697,.357,489,700,.699,347,1120,455,172,94,347,612
115,Hartford,30,16,14,.533,-7.08,-5.72,9,6,8,7,8,7,1983,1999,,1205,726,1785,.407,189,688,.275,358,515,.695,345,1166,393,194,89,395,511
116,Harvard,25,18,7,.720,3.20,-1.26,7,3,10,0,7,4,1832,1668,,1020,592,1440,.411,171,505,.339,313,456,.686,228,829,268,171,62,328,462
117,Hawaii,27,16,11,.593,-0.66,-1.89,7,6,14,5,2,6,1865,1816,,1085,662,1511,.438,136,405,.336,356,495,.719,225,894,248,168,81,354,507
118,High Point,30,9,21,.300,-16.29,-5.18,6,11,6,9,3,12,1975,2243,,1210,769,1660,.463,297,762,.390,408,601,.679,271,981,464,208,108,368,572
119,Hofstra,30,22,8,.733,2.20,-3.69,13,4,9,4,11,4,2293,2080,,1200,801,1796,.446,197,642,.307,281,387,.726,306,1029,436,177,75,417,562
120,Holy Cross,30,3,27,.100,-17.25,-4.08,2,15,2,11,0,15,1997,2382,,1215,882,1786,.494,221,603,.367,397,567,.700,284,1070,417,209,93,320,432
121,Houston Baptist,26,3,23,.115,-17.55,-2.70,3,14,2,8,1,14,2077,2463,,1045,892,1714,.520,213,560,.380,466,638,.730,298,972,503,228,115,335,520
122,Houston,28,21,7,.750,16.36,5.61,11,4,12,2,6,5,2038,1737,,1125,575,1511,.381,172,594,.290,415,606,.685,261,886,315,144,61,338,537
123,Howard,28,2,26,.071,-21.48,-6.52,0,13,1,12,1,13,1950,2284,,1135,821,1720,.477,229,650,.352,413,612,.675,367,1131,512,174,77,402,484
124,Idaho State,26,6,20,.231,-8.37,-0.92,3,14,4,9,2,11,1798,1886,,1055,730,1511,.483,128,408,.314,298,400,.745,220,824,301,160,82,306,496
125,Idaho,28,7,21,.250,-11.67,-1.79,3,14,4,9,2,11,1818,2019,,1125,745,1673,.445,214,657,.326,315,458,.688,255,971,403,204,87,323,475
126,Illinois-Chicago,30,15,15,.500,-5.18,-3.66,10,7,9,6,5,9,2051,2092,,1205,730,1778,.411,199,683,.291,433,639,.678,338,1082,411,207,81,366,496
127,Illinois State,29,9,20,.310,-2.75,2.28,4,13,9,6,0,11,1914,2036,,1165,731,1638,.446,212,632,.335,362,501,.723,275,1022,379,191,76,392,445
128,Illinois,28,19,9,.679,15.28,9.06,11,6,13,3,6,5,2031,1811,,1125,686,1657,.414,180,552,.326,259,371,.698,250,882,310,166,91,327,527
129,Incarnate Word,28,9,19,.321,-18.73,-6.53,6,11,7,7,2,12,1836,2055,,1135,728,1611,.452,198,572,.346,401,532,.754,308,1008,426,186,107,408,469
130,Indiana State,28,17,11,.607,3.67,1.63,10,7,11,1,4,8,1930,1868,,1125,670,1500,.447,178,560,.318,350,504,.694,227,908,351,141,79,357,511
131,Indiana,28,18,10,.643,14.65,10.15,8,9,14,3,2,7,2003,1877,,1125,662,1574,.421,197,618,.319,356,521,.683,243,892,346,177,94,353,541
132,Iona,24,11,13,.458,-5.97,-5.14,9,8,5,5,4,7,1682,1702,,970,590,1377,.428,203,548,.370,319,496,.643,273,843,355,158,66,321,404
133,Iowa State,28,12,16,.429,10.00,9.86,5,10,11,5,0,9,2038,2034,,1125,749,1677,.447,230,631,.365,306,451,.678,320,1022,365,203,83,416,456
134,Iowa,28,19,9,.679,16.38,10.27,10,7,13,1,4,6,2189,2018,,1120,734,1697,.433,218,676,.322,332,458,.725,291,977,424,172,104,354,536
